EC,enzyme_name,present_in_all_analyzed_parasites,in_A_cantonensis_intragenomic_analogs,A_cantonensis_intergenomic_not_intragenomic,hsavsangio,hsavsechinogranu,hsavsechmult,hsavstaeniasolium,hsavsonco,hsavstoxo,EC_FASTA_file,KEGG_EC_url,BRENDA_url
2.4.1.244,N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_2_4_1_244.fasta,https://www.genome.jp/entry/ec:2.4.1.244,https://www.brenda-enzymes.org/enzyme.php?ecno=2.4.1.244
2.7.13.3,Histidine kinase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_2_7_13_3.fasta,https://www.genome.jp/entry/ec:2.7.13.3,https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.13.3
2.7.4.9,dTMP kinase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_2_7_4_9.fasta,https://www.genome.jp/entry/ec:2.7.4.9,https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.4.9
3.1.1.13,Sterol esterase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_3_1_1_13.fasta,https://www.genome.jp/entry/ec:3.1.1.13,https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.13
3.1.1.2,Arylesterase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_3_1_1_2.fasta,https://www.genome.jp/entry/ec:3.1.1.2,https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.2
3.1.1.32,Phospholipase A(1),True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_3_1_1_32.fasta,https://www.genome.jp/entry/ec:3.1.1.32,https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.32
3.1.2.1,Acetyl-CoA hydrolase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_3_1_2_1.fasta,https://www.genome.jp/entry/ec:3.1.2.1,https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.2.1
3.1.2.15,N/A (ubiquitin thiolesterase),True,True,False,True,True,True,True,True,True,data/sequences/by_ec/EC_3_1_2_15.fasta,https://www.genome.jp/entry/ec:3.1.2.15,https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.2.15
3.1.3.1,Alkaline phosphatase,True,True,False,True,True,True,True,True,True,data/sequences/by_ec/EC_3_1_3_1.fasta,https://www.genome.jp/entry/ec:3.1.3.1,https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.1
3.2.1.17,Lysozyme,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_3_2_1_17.fasta,https://www.genome.jp/entry/ec:3.2.1.17,https://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.17
3.2.1.20,Alpha-glucosidase,True,True,False,True,True,True,True,True,True,data/sequences/by_ec/EC_3_2_1_20.fasta,https://www.genome.jp/entry/ec:3.2.1.20,https://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.20
3.4.21.68,T-plasminogen activator,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_3_4_21_68.fasta,https://www.genome.jp/entry/ec:3.4.21.68,https://www.brenda-enzymes.org/enzyme.php?ecno=3.4.21.68
3.4.21.69,Protein C,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_3_4_21_69.fasta,https://www.genome.jp/entry/ec:3.4.21.69,https://www.brenda-enzymes.org/enzyme.php?ecno=3.4.21.69
3.5.1.9,Arylformamidase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_3_5_1_9.fasta,https://www.genome.jp/entry/ec:3.5.1.9,https://www.brenda-enzymes.org/enzyme.php?ecno=3.5.1.9
3.5.4.4,Adenosine deaminase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_3_5_4_4.fasta,https://www.genome.jp/entry/ec:3.5.4.4,https://www.brenda-enzymes.org/enzyme.php?ecno=3.5.4.4
3.6.1.13,ADP-ribose diphosphatase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_3_6_1_13.fasta,https://www.genome.jp/entry/ec:3.6.1.13,https://www.brenda-enzymes.org/enzyme.php?ecno=3.6.1.13
3.6.1.15,Nucleoside-triphosphate phosphatase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_3_6_1_15.fasta,https://www.genome.jp/entry/ec:3.6.1.15,https://www.brenda-enzymes.org/enzyme.php?ecno=3.6.1.15
3.6.3.10,Hydrogen/potassium-exchanging ATPase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_3_6_3_10.fasta,https://www.genome.jp/entry/ec:3.6.3.10,https://www.brenda-enzymes.org/enzyme.php?ecno=3.6.3.10
3.6.3.6,Proton-exporting ATPase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_3_6_3_6.fasta,https://www.genome.jp/entry/ec:3.6.3.6,https://www.brenda-enzymes.org/enzyme.php?ecno=3.6.3.6
4.2.1.2,Fumarate hydratase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_4_2_1_2.fasta,https://www.genome.jp/entry/ec:4.2.1.2,https://www.brenda-enzymes.org/enzyme.php?ecno=4.2.1.2
4.4.1.1,Cystathionine gamma-lyase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_4_4_1_1.fasta,https://www.genome.jp/entry/ec:4.4.1.1,https://www.brenda-enzymes.org/enzyme.php?ecno=4.4.1.1
4.99.1.1,Protoporphyrin ferrochelatase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_4_99_1_1.fasta,https://www.genome.jp/entry/ec:4.99.1.1,https://www.brenda-enzymes.org/enzyme.php?ecno=4.99.1.1
5.5.1.4,Inositol-3-phosphate synthase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_5_5_1_4.fasta,https://www.genome.jp/entry/ec:5.5.1.4,https://www.brenda-enzymes.org/enzyme.php?ecno=5.5.1.4
6.1.1.9,Valine--tRNA ligase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_6_1_1_9.fasta,https://www.genome.jp/entry/ec:6.1.1.9,https://www.brenda-enzymes.org/enzyme.php?ecno=6.1.1.9
6.3.5.3,Phosphoribosylformylglycinamidine synthase,True,False,True,True,True,True,True,True,True,data/sequences/by_ec/EC_6_3_5_3.fasta,https://www.genome.jp/entry/ec:6.3.5.3,https://www.brenda-enzymes.org/enzyme.php?ecno=6.3.5.3
